# a b m n r rhoa
1 4 3 6 -1710.475230 -271.725960
1 4 5 8 -4935.767580 1066.063217
1 4 8 11 -477.919140 75.883633
1 4 12 15 -4199.941830 3795.030962
1 4 13 16 -3211.135290 1522.237578
1 4 20 23 -581.462191 -254.326935
1 4 21 24 -1085.946720 -3027.287307
1 4 29 32 52.111322 35.573717
1 4 64 3 4754.759920 12023.624506
2 5 6 9 -12476.592600 450.353461
2 5 7 10 -10762.976800 445.571891
2 5 13 16 -2299.038380 2077.048383
2 5 21 24 0.576885 0.252302
2 5 62 1 -8046.701240 416.315645
3 6 1 4 -1670.669850 -265.402480
3 6 5 8 887.936254 141.058472
3 6 7 10 -11324.042500 409.521917
3 6 8 11 -10926.360700 448.566744
3 6 63 2 -9381.752880 527.685799
4 7 9 12 -4071.964640 3678.943552
4 7 17 20 -460.384356 -201.401852
4 7 60 63 584.837314 218.945215
4 7 61 64 546.093475 228.374678
5 8 1 4 -5176.360300 1118.028195
5 8 3 6 964.026978 153.146323
5 8 6 9 1346.678170 -357.782230
5 8 9 12 -2990.454720 1417.589845
5 8 10 13 -3030.344500 2737.525415
5 8 14 17 718.239693 -153.068313
5 8 17 20 -1036.206480 -2891.011584
5 8 18 21 -423.344584 -185.170845
5 8 25 28 -121.892684 -83.252492
6 9 2 5 -8868.689250 320.123052
6 9 5 8 1326.262880 -352.358345
6 9 7 10 8865.949370 240.083299
6 9 10 13 -8825.173860 337.683055
6 9 14 17 8839.540730 246.539733
6 9 15 18 8822.467360 294.658729
6 9 22 25 7289.603620 307.785429
6 9 60 63 -945.553990 220.637363
6 9 61 64 -845.089733 238.771651
6 9 62 1 8776.752020 389.231312
7 10 2 5 -8328.626640 344.793266
7 10 3 6 -8312.485830 300.612183
7 10 6 9 8326.562470 225.477104
7 10 8 11 8266.339340 220.739312
7 10 11 14 -8314.937950 319.714350
7 10 14 17 8191.014510 277.778811
7 10 16 19 8208.193870 270.374534
7 10 24 27 5901.568270 265.040703
7 10 60 63 -974.080899 212.280786
7 10 61 64 -885.812999 224.756201
7 10 62 1 7365.744210 375.476143
7 10 63 2 7873.326170 386.489943
8 11 1 4 -512.593344 81.389176
8 11 3 6 -9780.412580 401.521416
8 11 7 10 9726.073290 259.719162
8 11 15 18 9157.002630 306.198264
8 11 24 27 6121.549090 251.889244
9 12 4 7 -4050.884350 3659.897906
9 12 5 8 -2887.177830 1368.632651
9 12 20 23 -2141.669100 1347.039510
9 12 28 31 108.091576 58.512280
9 12 29 32 -272.483275 -1787.427983
9 12 62 1 -6483.821430 377.013983
9 12 64 3 1356.055230 -758.008808
10 13 5 8 -2908.091280 2627.085399
10 13 6 9 -9674.204930 370.170053
10 13 12 15 83.208712 16.981530
10 13 21 24 -1754.338000 1103.628713
10 13 60 63 609.141216 214.593693
10 13 61 64 532.561033 236.450463
10 13 64 3 -3427.674180 368.647595
11 14 7 10 -9925.976280 381.659740
11 14 61 64 654.292018 241.575543
12 15 1 4 -4170.642180 3768.556053
12 15 10 13 92.684641 18.915411
12 15 17 20 -2126.700240 1337.400954
12 15 25 28 23.224717 12.577675
13 16 1 4 -3183.849160 1509.302598
13 16 2 5 -2219.976720 2005.620740
13 16 14 17 296.100907 -101.904045
13 16 18 21 -1603.264560 1008.462089
13 16 22 25 -295.376809 75.460850
13 16 25 28 -444.420265 -2927.722012
13 16 26 29 61.469425 33.277155
13 16 30 33 -624.652114 133.254367
14 17 5 8 683.404032 -145.644279
14 17 6 9 10933.518100 304.941933
14 17 7 10 9582.631930 324.972212
14 17 13 16 302.641180 -104.154901
14 17 15 18 9394.527080 277.799423
14 17 22 25 8563.691500 254.359466
14 17 62 1 6014.877200 385.695481
15 18 6 9 8356.017490 279.079921
15 18 8 11 8405.093000 281.055383
15 18 14 17 8338.127110 246.561310
15 18 16 19 8277.552530 242.523012
15 18 24 27 6403.270130 228.400908
16 19 7 10 8965.729450 295.327444
16 19 15 18 8949.169460 262.200635
16 19 24 27 7308.001570 214.326013
16 19 32 35 4466.145380 197.899966
16 19 60 63 -959.905625 172.282606
16 19 61 64 -893.907676 177.664250
17 20 4 7 -482.280241 -210.980526
17 20 5 8 -1046.992770 -2921.105286
17 20 12 15 -2094.697320 1317.275534
17 20 24 27 -836.867617 190.807887
17 20 37 40 -41.437675 -3011.998129
17 20 64 3 -467.634521 121.505593
18 21 5 8 -408.661515 -178.748473
18 21 13 16 -1583.746750 996.185281
18 21 28 31 931.486881 182.271765
18 21 37 40 272.625392 167.271042
20 23 1 4 -603.839174 -264.114449
20 23 9 12 -2166.747160 1362.812786
20 23 28 31 5109.265920 245.998009
20 23 29 32 3137.446670 213.679999
20 23 30 33 -2425.516340 209.967952
20 23 31 34 -3433.950990 190.744981
20 23 32 35 -3363.703430 186.940798
20 23 33 36 108.557346 66.703097
20 23 34 37 967.641467 184.340192
20 23 35 38 1988.633090 209.491751
20 23 36 39 2387.617340 206.775946
20 23 37 40 1726.366670 180.487916
20 23 38 41 -1616.182210 186.752214
20 23 39 42 -2183.946580 183.674155
20 23 40 43 -2215.803170 174.558363
20 23 41 44 411.494908 160.537337
20 23 42 45 790.814414 171.344039
20 23 43 46 1162.141070 175.582865
20 23 44 47 1373.208090 184.050931
20 23 45 48 1153.678820 175.834138
20 23 46 49 -1190.892370 173.185560
20 23 47 50 -1537.372060 176.016973
20 23 48 51 -1586.331320 169.915860
20 23 49 52 452.965893 168.623255
20 23 50 53 641.960477 162.634936
20 23 51 54 823.931834 164.963581
21 24 1 4 -1052.435120 -2933.867217
21 24 2 5 -19.085152 -8.346945
21 24 10 13 -1695.977330 1066.914858
21 24 22 25 154.228603 -67.156472
21 24 30 33 -91.888259 26.252485
21 24 33 36 -148.112732 -12042.201960
22 25 6 9 6627.570710 279.832732
22 25 13 16 -269.028057 68.729451
22 25 14 17 6582.744610 195.521219
22 25 21 24 137.093739 -59.695359
22 25 23 26 6627.867180 204.413740
22 25 30 33 6317.444550 192.021098
22 25 31 34 5042.300130 186.705797
22 25 63 2 3312.842840 318.651985
22 25 64 3 2012.750890 277.405154
23 26 9 12 -2955.216080 265.357046
23 26 10 13 -4474.581220 287.057522
23 26 11 14 -5332.856580 288.193160
23 26 12 15 -4220.014400 225.137958
23 26 13 16 -2287.399090 183.765876
23 26 14 17 6732.928050 242.064133
23 26 15 18 7591.163220 226.404575
23 26 16 19 6262.880680 227.067387
23 26 22 25 7034.694790 216.960937
23 26 24 27 6480.897680 199.041419
23 26 31 34 5944.104120 182.353751
23 26 32 35 4858.380960 179.486882
23 26 39 42 3760.482310 171.630207
23 26 52 55 -1446.787530 165.890028
23 26 53 56 -1263.698230 179.185983
23 26 54 57 1812.839270 150.863144
23 26 55 58 2060.960440 157.466453
23 26 56 59 2033.360870 161.261627
23 26 57 60 -909.492573 151.967582
23 26 58 61 -1071.927890 146.190747
23 26 59 62 -1176.211590 152.222912
24 27 7 10 5227.753770 234.779549
24 27 8 11 5237.554080 215.514655
24 27 15 18 5206.771930 185.722516
24 27 16 19 5216.972940 153.001200
24 27 17 20 -789.012704 179.896849
24 27 23 26 5161.480400 158.519457
24 27 31 34 4605.105560 173.027771
24 27 32 35 5207.407780 157.698020
24 27 64 3 2819.962530 272.588080
25 28 5 8 -113.498545 -77.519310
25 28 12 15 31.535323 17.078402
25 28 13 16 -422.698619 -2784.625609
25 28 45 48 95.685112 3124.037544
26 29 13 16 47.072637 25.483294
26 29 28 31 -14.344737 -3.679587
28 31 9 12 124.868553 67.594016
28 31 18 21 880.467147 172.288310
28 31 26 29 -9.735056 -2.497152
28 31 41 44 187.460364 113.605447
29 32 1 4 43.215789 29.501194
29 32 9 12 -285.078642 -1870.050710
29 32 30 33 41.534328 -19.961564
29 32 38 41 -275.078662 78.975202
29 32 41 44 -0.794431 -28.511866
30 33 13 16 -580.745590 123.887976
30 33 21 24 -69.883547 19.965737
30 33 22 25 5480.797380 166.590893
30 33 29 32 45.790700 -22.007193
30 33 31 34 5263.271250 163.880292
30 33 39 42 3886.334090 143.032093
31 34 22 25 4351.286970 161.119029
31 34 23 26 4369.226570 134.039519
