# X Y Z i
0.10 0.06 -1.19 0.000000
0.06 0.19 -1.24 0.000000
0.05 0.32 -1.19 0.000000
0.08 0.48 -1.22 0.000000
0.07 0.59 -1.23 0.000000
0.07 0.71 -1.16 0.118425
0.06 0.91 -1.23 0.000000
0.20 0.06 -1.24 0.000000
0.24 0.17 -1.18 0.000000
0.23 0.31 -1.18 0.000000
0.21 0.46 -1.24 0.000000
0.27 0.58 -1.18 0.000000
0.18 0.70 -1.17 0.000000
0.22 0.87 -1.17 0.000000
0.38 0.10 -1.23 0.000000
0.35 0.16 -1.21 0.000000
0.37 0.33 -1.21 0.000000
0.40 0.46 -1.23 0.034281
0.36 0.54 -1.20 0.000000
0.38 0.69 -1.24 0.000000
0.36 0.88 -1.18 0.000000
0.53 0.06 -1.24 0.000000
0.58 0.20 -1.22 0.000000
0.53 0.33 -1.22 0.000000
0.54 0.48 -1.17 0.000000
0.54 0.56 -1.18 0.000000
0.59 0.75 -1.24 0.000000
0.54 0.87 -1.24 0.000000
0.72 0.06 -1.16 0.000000
0.70 0.18 -1.17 0.000000
0.67 0.31 -1.21 0.000000
0.70 0.46 -1.19 0.000000
0.72 0.61 -1.17 0.000000
0.73 0.69 -1.22 0.000000
0.68 0.89 -1.20 0.018206
0.87 0.06 -1.18 0.000000
0.90 0.21 -1.23 0.000000
0.91 0.34 -1.16 0.000000
0.87 0.47 -1.21 0.000000
0.86 0.55 -1.18 0.000000
0.90 0.77 -1.18 0.000000
0.87 0.87 -1.23 0.202583
1.06 0.06 -1.18 0.000000
1.00 0.19 -1.23 0.000000
1.00 0.34 -1.17 0.000000
1.02 0.41 -1.17 0.000000
1.01 0.57 -1.24 0.000000
1.03 0.70 -1.17 0.000000
1.06 0.86 -1.18 0.000000
0.07 0.07 -1.00 0.000000
0.06 0.21 -1.02 0.000000
0.06 0.35 -1.05 0.000000
0.05 0.44 -1.05 0.000000
0.07 0.55 -1.03 0.000000
0.06 0.69 -1.05 0.000000
0.06 0.94 -1.05 0.000000
0.24 0.05 -0.98 0.000000
0.22 0.22 -1.02 0.000000
0.23 0.32 -1.08 0.000000
0.20 0.44 -1.04 0.000000
0.25 0.57 -1.04 0.000000
0.23 0.78 -1.05 0.000000
0.23 0.89 -1.05 0.000000
0.42 0.08 -1.01 0.000000
0.36 0.21 -1.01 0.000000
0.37 0.31 -1.05 0.000000
0.41 0.46 -1.00 0.000000
0.41 0.59 -1.07 0.000000
0.36 0.79 -1.04 0.000000
0.35 0.86 -1.06 0.000000
0.52 0.06 -1.04 0.000000
0.55 0.19 -1.02 0.000000
0.51 0.36 -1.02 0.000000
0.52 0.45 -1.06 0.000000
0.54 0.55 -1.04 0.000000
0.59 0.71 -0.99 0.000000
0.55 0.88 -1.06 0.000000
0.71 0.06 -1.05 0.000000
0.72 0.20 -1.06 0.000000
0.68 0.33 -1.04 0.000000
0.71 0.41 -1.02 0.000000
0.71 0.57 -1.08 0.000000
0.71 0.75 -1.02 0.000000
0.68 0.86 -1.03 0.000000
0.89 0.05 -1.01 0.000000
0.89 0.15 -1.03 0.000000
0.87 0.33 -1.06 0.000000
0.88 0.47 -1.01 0.000000
0.86 0.59 -1.04 0.000000
0.86 0.75 -1.01 0.000000
0.91 0.86 -1.02 0.000000
1.05 0.07 -1.02 0.000000
1.03 0.19 -1.07 0.000000
1.05 0.35 -1.02 0.000000
1.01 0.45 -1.01 0.000000
1.02 0.62 -1.06 0.000000
1.02 0.74 -1.01 0.000000
1.06 0.89 -1.03 0.088933
0.06 0.06 -0.88 0.000000
0.05 0.17 -0.87 0.000000
0.06 0.30 -0.85 0.000000
0.05 0.47 -0.88 0.000000
0.06 0.61 -0.89 0.000000
0.12 0.71 -0.83 0.000000
0.07 0.85 -0.85 0.000000
0.16 0.06 -0.88 0.000000
0.18 0.18 -0.85 0.000000
0.20 0.32 -0.84 0.000000
0.23 0.44 -0.85 0.000000
0.19 0.60 -0.88 0.000000
0.25 0.72 -0.88 0.000000
0.23 0.87 -0.84 0.000000
0.37 0.06 -0.92 0.000000
0.39 0.20 -0.87 0.000000
0.36 0.28 -0.85 0.000000
0.44 0.47 -0.88 0.000000
0.32 0.61 -0.84 0.000000
0.36 0.75 -0.85 0.000000
0.36 0.87 -0.87 0.000000
0.51 0.05 -0.84 0.000000
0.52 0.17 -0.83 0.000000
0.57 0.30 -0.88 0.000000
0.57 0.45 -0.88 0.000000
0.55 0.62 -0.83 0.000000
0.49 0.73 -0.84 0.000000
0.53 0.85 -0.86 0.000000
0.68 0.06 -0.84 0.000000
0.70 0.21 -0.83 0.000000
0.70 0.30 -0.89 0.000000
0.71 0.47 -0.83 0.000000
0.69 0.63 -0.82 0.000000
0.69 0.70 -0.83 0.000000
0.71 0.82 -0.83 0.000000
0.87 0.06 -0.85 0.000000
0.88 0.20 -0.83 0.000000
0.90 0.35 -0.81 0.000000
0.88 0.43 -0.84 0.000000
0.84 0.60 -0.83 0.000000
0.84 0.71 -0.84 0.000000
0.88 0.86 -0.90 0.000000
1.10 0.06 -0.91 0.000000
1.05 0.23 -0.84 0.000000
1.06 0.34 -0.85 0.000000
1.05 0.47 -0.83 0.000000
1.02 0.56 -0.84 0.000000
1.03 0.75 -0.83 0.000000
1.06 0.88 -0.85 0.000000
0.06 0.06 -0.64 0.000000
0.05 0.19 -0.67 0.000000
0.05 0.32 -0.64 0.000000
0.06 0.45 -0.67 0.000000
0.06 0.61 -0.74 0.000000
0.07 0.75 -0.71 0.000000
0.05 0.88 -0.68 0.000000
0.20 0.07 -0.65 0.000000
0.23 0.17 -0.67 0.000000
0.18 0.29 -0.67 0.000000
0.23 0.44 -0.65 0.000000
0.22 0.58 -0.68 0.000000
0.22 0.71 -0.70 0.000000
0.16 0.88 -0.68 0.000000
0.37 0.05 -0.68 0.000000
0.41 0.19 -0.70 0.000000
0.41 0.33 -0.69 0.000000
0.41 0.46 -0.71 0.000000
0.36 0.58 -0.69 0.000000
0.40 0.71 -0.74 0.000000
0.43 0.87 -0.72 0.000000
0.53 0.05 -0.64 0.000000
0.57 0.16 -0.69 0.000000
0.54 0.28 -0.68 0.000000
0.56 0.48 -0.65 0.000000
0.60 0.58 -0.68 0.000000
0.57 0.71 -0.65 0.000000
0.54 0.88 -0.70 0.000000
0.73 0.08 -0.68 0.000000
0.70 0.18 -0.69 0.000000
0.71 0.29 -0.69 0.000000
0.69 0.47 -0.70 0.120578
0.69 0.64 -0.69 0.000000
0.71 0.71 -0.67 0.000000
0.72 0.83 -0.69 0.000000
0.85 0.05 -0.68 0.000000
0.88 0.19 -0.67 0.000000
0.86 0.32 -0.70 0.000000
0.88 0.49 -0.67 0.000000
0.86 0.61 -0.70 0.000000
0.91 0.73 -0.68 0.000000
0.89 0.83 -0.70 0.000000
0.99 0.07 -0.70 0.000000
1.05 0.16 -0.68 0.000000
0.99 0.34 -0.72 0.000000
1.08 0.47 -0.67 0.000000
0.99 0.55 -0.69 0.000000
1.03 0.69 -0.69 0.000000
1.04 0.86 -0.68 0.000000
0.09 0.09 -0.59 0.000000
0.05 0.15 -0.51 0.000000
0.05 0.35 -0.52 0.000000
0.05 0.50 -0.48 0.000000
0.06 0.60 -0.51 0.000000
0.07 0.72 -0.52 0.000000
0.09 0.84 -0.52 0.000000
0.21 0.05 -0.55 0.000000
0.18 0.21 -0.55 0.000000
0.18 0.33 -0.54 0.000000
0.24 0.46 -0.52 0.000000
0.19 0.57 -0.52 0.000000
0.20 0.74 -0.52 0.000000
0.20 0.85 -0.53 0.000000
0.35 0.05 -0.53 0.000000
0.38 0.24 -0.51 0.000000
0.40 0.34 -0.48 0.000000
0.36 0.49 -0.51 0.000000
0.36 0.60 -0.47 0.000000
0.38 0.75 -0.52 0.105066
0.39 0.90 -0.56 0.000000
0.49 0.09 -0.50 0.000000
0.53 0.17 -0.51 0.000000
0.55 0.35 -0.52 0.000000
0.54 0.48 -0.51 0.000000
0.54 0.56 -0.50 0.000000
0.54 0.72 -0.51 0.000000
0.52 0.91 -0.49 0.000000
0.72 0.08 -0.50 0.000000
0.77 0.17 -0.52 0.000000
0.73 0.30 -0.54 0.000000
0.69 0.43 -0.49 0.000000
0.73 0.60 -0.52 0.000000
0.68 0.77 -0.52 0.000000
0.67 0.87 -0.51 0.000000
0.83 0.05 -0.52 0.000000
0.86 0.19 -0.49 0.000000
0.89 0.30 -0.53 0.000000
0.88 0.42 -0.48 0.000000
0.89 0.52 -0.54 0.000000
0.90 0.70 -0.52 0.000000
0.88 0.85 -0.52 0.000000
1.04 0.07 -0.53 0.000000
1.03 0.22 -0.52 0.000000
1.05 0.33 -0.51 0.000000
1.04 0.50 -0.52 0.000000
1.06 0.57 -0.49 0.000000
1.03 0.69 -0.49 0.000000
1.06 0.87 -0.52 0.000000
0.05 0.06 -0.35 0.076132
0.09 0.17 -0.32 0.000000
0.06 0.31 -0.35 0.000000
0.07 0.44 -0.33 0.000000
0.07 0.63 -0.36 0.000000
0.07 0.71 -0.30 0.000000
0.08 0.83 -0.31 0.000000
0.21 0.08 -0.39 0.000000
0.24 0.16 -0.37 0.000000
0.23 0.28 -0.31 0.000000
0.21 0.46 -0.35 0.000000
0.22 0.57 -0.35 0.000000
0.22 0.73 -0.33 0.000000
0.17 0.82 -0.35 0.000000
0.35 0.07 -0.32 0.000000
0.39 0.18 -0.35 0.000000
0.41 0.32 -0.35 0.000000
0.38 0.46 -0.31 0.009494
0.36 0.61 -0.38 0.000000
0.37 0.77 -0.35 0.000000
0.33 0.87 -0.36 0.000000
0.56 0.05 -0.34 0.000000
0.55 0.21 -0.34 0.000000
0.55 0.35 -0.34 0.000000
0.54 0.47 -0.35 0.000000
0.52 0.62 -0.35 0.000000
0.54 0.70 -0.37 0.000000
0.56 0.88 -0.35 0.000000
0.69 0.08 -0.40 0.000000
0.72 0.15 -0.33 0.000000
0.69 0.33 -0.35 0.000000
0.69 0.44 -0.31 0.000000
0.76 0.61 -0.33 0.005364
0.67 0.75 -0.32 0.000000
0.75 0.86 -0.35 0.000000
0.88 0.09 -0.36 0.000000
0.90 0.19 -0.37 0.000000
0.86 0.34 -0.34 0.062697
0.87 0.46 -0.30 0.000000
0.91 0.61 -0.32 0.000000
0.87 0.74 -0.33 0.000000
0.89 0.87 -0.34 0.000000
1.06 0.06 -0.37 0.000000
1.05 0.22 -0.37 0.000000
1.02 0.32 -0.38 0.000000
1.05 0.42 -0.33 0.000000
1.04 0.60 -0.35 0.000000
1.06 0.74 -0.30 0.000000
1.08 0.89 -0.35 0.000000
0.09 0.08 -0.18 0.068230
0.06 0.13 -0.15 0.000000
0.05 0.36 -0.21 0.000000
0.06 0.49 -0.15 0.000000
0.06 0.58 -0.20 0.000000
0.08 0.73 -0.18 0.000000
0.07 0.82 -0.22 0.000000
0.22 0.06 -0.13 0.000000
0.17 0.17 -0.17 0.000000
