64
# x y z
0.090 0.430 0.000
0.140 0.430 0.000
0.190 0.430 0.000
0.240 0.430 0.000
0.290 0.430 0.000
0.340 0.430 0.000
0.390 0.430 0.000
0.440 0.430 0.000
0.090 0.380 0.000
0.140 0.380 0.000
0.190 0.380 0.000
0.240 0.380 0.000
0.290 0.380 0.000
0.340 0.380 0.000
0.390 0.380 0.000
0.440 0.380 0.000
0.090 0.330 0.000
0.140 0.330 0.000
0.190 0.330 0.000
0.240 0.330 0.000
0.290 0.330 0.000
0.340 0.330 0.000
0.390 0.330 0.000
0.440 0.330 0.000
0.090 0.280 0.000
0.140 0.280 0.000
0.190 0.280 0.000
0.240 0.280 0.000
0.290 0.280 0.000
0.340 0.280 0.000
0.390 0.280 0.000
0.440 0.280 0.000
0.090 0.230 0.000
0.140 0.230 0.000
0.190 0.230 0.000
0.240 0.230 0.000
0.290 0.230 0.000
0.340 0.230 0.000
0.390 0.230 0.000
0.440 0.230 0.000
0.090 0.180 0.000
0.140 0.180 0.000
0.190 0.180 0.000
0.240 0.180 0.000
0.290 0.180 0.000
0.340 0.180 0.000
0.390 0.180 0.000
0.440 0.180 0.000
0.090 0.130 0.000
0.140 0.130 0.000
0.190 0.130 0.000
0.240 0.130 0.000
0.290 0.130 0.000
0.340 0.130 0.000
0.390 0.130 0.000
0.440 0.130 0.000
0.090 0.080 0.000
0.140 0.080 0.000
0.190 0.080 0.000
0.240 0.080 0.000
0.290 0.080 0.000
0.340 0.080 0.000
0.390 0.080 0.000
0.440 0.080 0.000
1659
# a b m n R err/%
1 4 2 5 10292.356050 0.401481
1 4 3 6 -1690.572540 2.354550
1 4 7 10 -5096.035830 1.044692
1 4 9 12 12079.725900 0.083523
1 4 10 13 7731.375095 0.384630
1 4 12 15 -4185.292005 0.700062
1 4 13 16 -3197.492225 0.853360
1 4 14 17 -6597.416575 0.424823
1 4 15 18 -3920.334915 0.724871
1 4 16 19 -1523.489425 1.206107
1 4 18 21 4302.067940 0.779266
1 4 19 22 1880.301450 1.550592
1 4 22 25 -4360.531475 2.054830
1 4 23 26 -3030.911965 2.774758
1 4 24 27 -1744.268895 2.695132
1 4 25 28 2974.700305 2.467846
1 4 26 29 2530.134880 1.371977
1 4 27 30 1656.911725 2.297848
1 4 28 31 538.107894 1.334486
1 4 30 33 -2634.863465 1.123220
1 4 31 34 -2088.751465 1.756306
1 4 32 35 -1507.637050 1.677095
1 4 33 36 1355.649555 1.267457
1 4 34 37 1389.980285 1.021847
1 4 35 38 1140.612050 1.214751
1 4 36 39 808.962417 1.039303
1 4 37 40 383.333108 0.073430
1 4 38 41 -1622.036890 1.430351
1 4 39 42 -1516.626675 1.147799
1 4 40 43 -1229.862335 1.146547
1 4 41 44 810.087087 1.934851
1 4 42 45 864.882728 1.835827
1 4 43 46 777.831461 2.083477
1 4 44 47 680.736513 2.085413
1 4 45 48 499.866540 2.405732
1 4 46 49 -1086.008625 0.532220
1 4 47 50 -1109.138440 0.536945
1 4 48 51 -981.450941 0.660143
1 4 49 52 575.593030 2.328245
1 4 50 53 613.995662 2.157646
1 4 51 54 598.206994 1.743527
