64
# x y z
+.09000 +.43000 +.00000
+.14000 +.43000 +.00000
+.19000 +.43000 +.00000
+.24000 +.43000 +.00000
+.29000 +.43000 +.00000
+.34000 +.43000 +.00000
+.39000 +.43000 +.00000
+.44000 +.43000 +.00000
+.09000 +.38000 +.00000
+.14000 +.38000 +.00000
+.19000 +.38000 +.00000
+.24000 +.38000 +.00000
+.29000 +.38000 +.00000
+.34000 +.38000 +.00000
+.39000 +.38000 +.00000
+.44000 +.38000 +.00000
+.09000 +.33000 +.00000
+.14000 +.33000 +.00000
+.19000 +.33000 +.00000
+.24000 +.33000 +.00000
+.29000 +.33000 +.00000
+.34000 +.33000 +.00000
+.39000 +.33000 +.00000
+.44000 +.33000 +.00000
+.09000 +.28000 +.00000
+.14000 +.28000 +.00000
+.19000 +.28000 +.00000
+.24000 +.28000 +.00000
+.29000 +.28000 +.00000
+.34000 +.28000 +.00000
+.39000 +.28000 +.00000
+.44000 +.28000 +.00000
+.09000 +.23000 +.00000
+.14000 +.23000 +.00000
+.19000 +.23000 +.00000
+.24000 +.23000 +.00000
+.29000 +.23000 +.00000
+.34000 +.23000 +.00000
+.39000 +.23000 +.00000
+.44000 +.23000 +.00000
+.09000 +.18000 +.00000
+.14000 +.18000 +.00000
+.19000 +.18000 +.00000
+.24000 +.18000 +.00000
+.29000 +.18000 +.00000
+.34000 +.18000 +.00000
+.39000 +.18000 +.00000
+.44000 +.18000 +.00000
+.09000 +.13000 +.00000
+.14000 +.13000 +.00000
+.19000 +.13000 +.00000
+.24000 +.13000 +.00000
+.29000 +.13000 +.00000
+.34000 +.13000 +.00000
+.39000 +.13000 +.00000
+.44000 +.13000 +.00000
+.09000 +.08000 +.00000
+.14000 +.08000 +.00000
+.19000 +.08000 +.00000
+.24000 +.08000 +.00000
+.29000 +.08000 +.00000
+.34000 +.08000 +.00000
+.39000 +.08000 +.00000
+.44000 +.08000 +.00000
1793
# a b m n r
1 4 2 5 10292.356050
1 4 6 9 -9007.707110
1 4 7 10 -5096.035830
1 4 9 12 12079.725900
1 4 10 13 7731.375095
1 4 11 14 1634.524430
1 4 14 17 -6597.416575
1 4 15 18 -3920.334915
1 4 16 19 -1523.489425
1 4 17 20 5896.479710
1 4 18 21 4302.067940
1 4 19 22 1880.301450
1 4 22 25 -4360.531475
1 4 23 26 -3030.911965
1 4 24 27 -1744.268895
1 4 25 28 2974.700305
1 4 26 29 2530.134880
1 4 27 30 1656.911725
1 4 28 31 538.107894
1 4 30 33 -2634.863465
1 4 31 34 -2088.751465
1 4 32 35 -1507.637050
1 4 33 36 1355.649555
1 4 34 37 1389.980285
1 4 35 38 1140.612050
1 4 36 39 808.962417
1 4 37 40 383.333108
1 4 38 41 -1622.036890
1 4 39 42 -1516.626675
1 4 40 43 -1229.862335
1 4 41 44 810.087087
1 4 42 45 864.882728
1 4 43 46 777.831461
1 4 44 47 680.736513
1 4 45 48 499.866540
1 4 46 49 -1086.008625
1 4 47 50 -1109.138440
1 4 48 51 -981.450941
1 4 49 52 575.593030
1 4 50 53 613.995662
1 4 51 54 598.206994
1 4 52 55 556.189032
1 4 53 56 463.940404
1 4 54 57 -863.689801
1 4 55 58 -887.855760
1 4 56 59 -824.025201
1 4 57 60 479.384871
1 4 58 61 511.526436
1 4 59 62 509.781487
1 4 60 63 468.249739
1 4 61 64 403.750538
1 4 63 2 -4002.770275
2 5 3 6 11530.919200
2 5 4 7 1164.927660
2 5 8 11 -6941.007845
2 5 9 12 7631.489155
2 5 10 13 11737.386400
2 5 11 14 8766.595480
2 5 12 15 1848.755045
2 5 14 17 -9159.028760
2 5 15 18 -7250.760345
2 5 16 19 -5057.429255
2 5 17 20 4780.175735
2 5 18 21 6008.001020
2 5 19 22 5077.788730
2 5 20 23 2115.470135
2 5 22 25 -5577.350900
2 5 23 26 -4698.504025
2 5 24 27 -3586.160650
2 5 25 28 2668.200520
2 5 26 29 3184.361710
2 5 27 30 3076.105320
2 5 28 31 1828.206240
2 5 29 32 828.748061
2 5 30 33 -3353.207905
2 5 31 34 -3048.596775
2 5 32 35 -2559.367830
2 5 33 36 1350.200905
2 5 34 37 1752.383365
2 5 35 38 1811.730400
2 5 36 39 1511.432060
2 5 37 40 868.288866
2 5 38 41 -2088.554830
2 5 39 42 -2152.922310
2 5 40 43 -1898.653880
2 5 41 44 910.129587
2 5 42 45 1110.595710
2 5 43 46 1143.638325
2 5 44 47 1097.078685
2 5 45 48 844.534739
2 5 46 49 -1427.822500
2 5 47 50 -1558.967815
2 5 48 51 -1453.248895
2 5 49 52 697.664764
2 5 50 53 803.423536
2 5 51 54 847.131473
2 5 52 55 838.781474
2 5 53 56 725.026251
