# X Y Z i
284214.50 5036142.40 -30.00 0.000886
284234.50 5036142.40 -30.00 0.000899
284254.50 5036142.40 -30.00 0.000919
284274.50 5036142.40 -30.00 0.000958
284294.50 5036142.40 -30.00 0.001066
284314.50 5036142.40 -30.00 0.001091
284334.50 5036142.40 -30.00 0.001111
284214.50 5036162.40 -30.00 0.000870
284234.50 5036162.40 -30.00 0.000884
284254.50 5036162.40 -30.00 0.000894
284274.50 5036162.40 -30.00 0.000926
284294.50 5036162.40 -30.00 0.001058
284314.50 5036162.40 -30.00 0.001128
284334.50 5036162.40 -30.00 0.001160
284214.50 5036182.40 -30.00 0.000852
284234.50 5036182.40 -30.00 0.000885
284254.50 5036182.40 -30.00 0.000887
284274.50 5036182.40 -30.00 0.000910
284294.50 5036182.40 -30.00 0.001030
284314.50 5036182.40 -30.00 0.001885
284334.50 5036182.40 -30.00 0.000000
284214.50 5036202.40 -30.00 0.000767
284234.50 5036202.40 -30.00 0.000779
284254.50 5036202.40 -30.00 0.000846
284274.50 5036202.40 -30.00 0.000914
284294.50 5036202.40 -30.00 0.000850
284314.50 5036202.40 -30.00 0.002242
284334.50 5036202.40 -30.00 0.004956
284214.50 5036222.40 -30.00 0.000513
284234.50 5036222.40 -30.00 0.000016
284254.50 5036222.40 -30.00 0.000501
284274.50 5036222.40 -30.00 0.000869
284294.50 5036222.40 -30.00 0.002927
284314.50 5036222.40 -30.00 0.002349
284334.50 5036222.40 -30.00 0.026112
284214.50 5036242.40 -30.00 0.000401
284234.50 5036242.40 -30.00 0.000057
284254.50 5036242.40 -30.00 0.000793
284274.50 5036242.40 -30.00 0.000770
284294.50 5036242.40 -30.00 0.001010
284314.50 5036242.40 -30.00 0.004441
284334.50 5036242.40 -30.00 0.019651
284214.50 5036262.40 -30.00 0.000695
284234.50 5036262.40 -30.00 0.000706
284254.50 5036262.40 -30.00 0.000678
284274.50 5036262.40 -30.00 0.000660
284294.50 5036262.40 -30.00 0.000839
284314.50 5036262.40 -30.00 0.002774
284334.50 5036262.40 -30.00 0.000994
284214.50 5036282.40 -30.00 0.000798
284234.50 5036282.40 -30.00 0.000750
284254.50 5036282.40 -30.00 0.000852
284274.50 5036282.40 -30.00 0.000876
284294.50 5036282.40 -30.00 0.000890
284314.50 5036282.40 -30.00 0.000976
284334.50 5036282.40 -30.00 0.001220
284214.50 5036302.40 -30.00 0.000846
284234.50 5036302.40 -30.00 0.000855
284254.50 5036302.40 -30.00 0.000874
284274.50 5036302.40 -30.00 0.000835
284294.50 5036302.40 -30.00 0.000895
284314.50 5036302.40 -30.00 0.000977
284334.50 5036302.40 -30.00 0.001067
284214.50 5036322.40 -30.00 0.000833
284234.50 5036322.40 -30.00 0.000671
284254.50 5036322.40 -30.00 0.000713
284274.50 5036322.40 -30.00 0.000791
284294.50 5036322.40 -30.00 0.000868
284314.50 5036322.40 -30.00 0.000935
284334.50 5036322.40 -30.00 0.000988
284214.50 5036342.40 -30.00 0.000697
284234.50 5036342.40 -30.00 0.000596
284254.50 5036342.40 -30.00 0.000585
